model,accuracy,precision,recall,f1_score
Naive Bayes,0.9042105263157895,0.9039646764209247,0.9042105263157895,0.9038788333336351
Logistic Regression,0.9210526315789473,0.9209200680759156,0.9210526315789473,0.9208974308390497
Linear SVM,0.9235526315789474,0.9234941124289637,0.9235526315789474,0.9234568722471453
